control_type,hour,wait_time,wait_time_max,wait_time_min,wait_time_median,wait_time_std
ai,0,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,1,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,2,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,3,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,4,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,5,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,6,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,7,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,8,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,9,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,10,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,11,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,12,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,13,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,14,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,15,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,16,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,17,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,18,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,19,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,20,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,21,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,22,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
ai,23,21.933333333333508,22.300000000000175,21.400000000000176,22.100000000000172,0.38586123009300644
traditional,0,0.0,0.0,inf,0.0,0.0
traditional,1,1.828571428571422,2.199999999999992,1.2999999999999954,1.999999999999993,0.3410667538946651
traditional,2,6.857142857142871,12.300000000000031,1.2999999999999954,6.800000000000013,5.043342752822692
traditional,3,20.410000000000117,27.300000000000157,11.400000000000034,22.650000000000176,6.4877499951832895
traditional,4,29.017857142857405,37.400000000000375,22.400000000000176,27.100000000000158,5.386958694810328
traditional,5,39.07500000000043,52.40000000000052,25.100000000000342,37.400000000000375,9.806952607433459
traditional,6,39.07500000000043,52.40000000000052,25.100000000000342,37.400000000000375,9.806952607433459
traditional,7,33.3500000000004,52.40000000000052,1.6000000000001435,42.050000000000466,19.921372227549426
traditional,8,8.556666666666757,17.500000000000114,1.6000000000001435,6.800000000000061,6.158175234777138
traditional,9,11.038709677419424,17.500000000000114,2.5999999999999908,12.60000000000013,5.012351030324699
traditional,10,27.21904761904781,42.60000000000029,12.000000000000043,27.900000000000166,10.68535352926394
traditional,11,31.477551020408434,42.60000000000029,15.300000000000129,32.20000000000033,8.015374647338312
traditional,12,44.73934426229555,67.70000000000064,15.300000000000129,43.20000000000047,15.263814261170776
traditional,13,44.73934426229555,67.70000000000064,15.300000000000129,43.20000000000047,15.263814261170776
traditional,14,41.69444444444489,67.70000000000064,2.200000000000152,47.90000000000054,21.711359176338053
traditional,15,14.779245283019005,32.80000000000023,2.200000000000152,13.000000000000128,10.882292323902005
traditional,16,16.42500000000012,32.80000000000023,2.499999999999991,13.80000000000009,9.793755369150835
traditional,17,33.34925373134353,57.90000000000042,5.499999999999904,32.50000000000025,15.530137990702196
traditional,18,35.268000000000285,57.90000000000042,5.499999999999904,33.70000000000034,13.41169797850629
traditional,19,51.665116279070304,83.00000000000077,15.300000000000132,52.700000000000536,19.19215420754066
traditional,20,51.665116279070304,83.00000000000077,15.300000000000132,52.700000000000536,19.19215420754066
traditional,21,50.819230769231304,83.00000000000077,2.8000000000001535,53.40000000000053,23.356100930813444
traditional,22,22.32027027027045,48.10000000000034,2.8000000000001535,20.800000000000196,15.030392450773016
traditional,23,23.188000000000166,48.10000000000034,3.099999999999989,20.800000000000196,14.011471110010895
