intersection_id,hour,control_type,vehicle_count,emergency_vehicle_count,emergency_preemption_count,wait_time,emergency_wait_time,cycle_time,fuel_consumption,emissions,road_type,congestion_level,pedestrian_count,bicycle_count,avg_pedestrian_wait,avg_bicycle_wait,day,ai_model_loss,ai_model_val_loss
T1,0,traditional,1600,0,0,28.265384071407723,0.0,126.0,57.442641308221795,158.54169001069215,highway,medium,1054,170,0.0,0.0,0,,
T1,1,traditional,1498,0,0,28.521766225869715,0.0,126.0,53.23441570654079,146.92698735005254,highway,medium,1040,193,0.0,0.0,0,,
T1,2,traditional,1329,0,0,28.719451065506572,0.0,126.0,46.44459831437452,128.18709134767366,highway,medium,725,185,0.0,0.0,0,,
T1,3,traditional,1516,0,0,29.92315104309357,0.0,126.0,54.68009926995457,150.91707398507458,highway,medium,850,188,0.0,0.0,0,,
T1,4,traditional,1565,0,0,30.829519734714857,0.0,126.0,57.24505552194094,157.996353240557,highway,medium,996,197,0.0,0.0,0,,
T1,5,traditional,2684,0,0,32.32748862621784,0.0,126.0,110.94907753264252,306.2194539900933,highway,medium,1766,377,0.0,0.0,0,,
T1,6,traditional,2847,0,0,36.84033879671738,0.0,180.0,123.67595035233984,341.3456229724579,highway,medium,1920,335,0.0,0.0,0,,
T1,7,traditional,8608,0,0,44.37405742857286,0.0,180.0,574.6001379427935,1585.89638072211,highway,medium,5900,1170,0.0,0.0,0,,
T1,8,traditional,9469,0,0,44.33149079070964,0.0,180.0,631.91391300787,1744.082399901721,highway,medium,7076,956,0.0,0.0,0,,
T1,9,traditional,2983,0,0,43.84177204248507,0.0,180.0,173.6829415501752,479.3649186784835,highway,medium,2213,316,0.0,0.0,0,,
T1,10,traditional,6426,0,0,37.70525846726501,0.0,180.0,343.285721635985,947.4685917153184,highway,medium,4170,661,0.0,0.0,0,,
T1,11,traditional,6435,0,0,37.83249515957597,0.0,180.0,344.09027884853776,949.689169621964,highway,medium,4617,877,0.0,0.0,0,,
T1,12,traditional,6029,0,0,37.49277243784284,0.0,180.0,321.6300019085162,887.6988052675046,highway,medium,3873,684,0.0,0.0,0,,
T1,13,traditional,5516,0,0,37.8172172058879,0.0,180.0,294.8565358452527,813.8040389328975,highway,medium,3240,609,0.0,0.0,0,,
T1,14,traditional,5579,0,0,37.55760096141951,0.0,180.0,297.7316194091561,821.7392695692707,highway,medium,3957,714,0.0,0.0,0,,
T1,15,traditional,5861,0,0,37.36031937716487,0.0,180.0,312.50738561156146,862.5203842879096,highway,medium,2998,790,0.0,0.0,0,,
T1,16,traditional,7672,0,0,44.71833059789137,0.0,180.0,513.2372953907668,1416.5349352785163,highway,medium,4742,1004,0.0,0.0,0,,
T1,17,traditional,8010,0,0,44.198307888789735,0.0,180.0,534.2872646909254,1474.6328505469542,highway,medium,5854,1175,0.0,0.0,0,,
T1,18,traditional,7628,0,0,44.458304618514696,0.0,180.0,509.4178532904364,1405.9932750816045,highway,medium,4768,838,0.0,0.0,0,,
T1,19,traditional,3742,0,0,44.134742694251784,0.0,162.0,184.3069979337339,508.6873142971055,highway,medium,2522,418,0.0,0.0,0,,
T1,20,traditional,3351,0,0,37.28502712402982,0.0,162.0,152.51025026339275,420.9282907269639,highway,medium,1809,359,0.0,0.0,0,,
T1,21,traditional,3994,0,0,37.16628040061582,0.0,162.0,191.3589762410366,528.150774425261,highway,medium,2565,496,0.0,0.0,0,,
T1,22,traditional,1404,0,0,30.310715204425545,0.0,126.0,50.262130068128585,138.72347898803488,highway,medium,984,147,0.0,0.0,0,,
T1,23,traditional,1118,0,0,28.10843913239874,0.0,126.0,37.94561829648783,104.7299064983064,highway,medium,820,140,0.0,0.0,0,,
T1,0,traditional,1255,0,0,28.210703027385183,0.0,126.0,43.33606564061122,119.60754116808694,highway,medium,712,179,0.0,0.0,1,,
T1,1,traditional,1364,0,0,28.570755406596284,0.0,126.0,47.83944278042043,132.03686207396035,highway,medium,686,147,0.0,0.0,1,,
T1,2,traditional,1681,0,0,28.38906849134497,0.0,126.0,60.8999440160461,168.0838454842872,highway,medium,1098,243,0.0,0.0,1,,
T1,3,traditional,1325,0,0,29.6782075276441,0.0,126.0,46.74885528584672,129.02684058893692,highway,medium,827,152,0.0,0.0,1,,
T1,4,traditional,1545,0,0,29.96577090337625,0.0,126.0,55.95562096519025,154.43751386392506,highway,medium,1128,215,0.0,0.0,1,,
T1,5,traditional,2468,0,0,32.78341400521465,0.0,126.0,100.3112374864945,276.8590154627248,highway,medium,1621,342,0.0,0.0,1,,
T1,6,traditional,2751,0,0,37.768702010018,0.0,180.0,119.3700276296469,329.46127625782543,highway,medium,1632,284,0.0,0.0,1,,
T1,7,traditional,9981,0,0,44.934371752432405,0.0,180.0,668.6002319153531,1845.3366400863745,highway,medium,6660,1367,0.0,0.0,1,,
T1,8,traditional,8882,0,0,44.98837884113714,0.0,180.0,595.1462309409343,1642.6035973969786,highway,medium,5174,1107,0.0,0.0,1,,
T1,9,traditional,3089,0,0,45.10439857602633,0.0,180.0,183.15537900903817,505.5088460649453,highway,medium,1965,321,0.0,0.0,1,,
T1,10,traditional,6999,0,0,36.97688762130713,0.0,180.0,372.2103892956928,1027.300674456112,highway,medium,4688,821,0.0,0.0,1,,
T1,11,traditional,5385,0,0,37.39154595348297,0.0,180.0,286.84139540810463,791.6822513263687,highway,medium,3232,654,0.0,0.0,1,,
T1,12,traditional,5723,0,0,37.29559737071351,0.0,180.0,304.9584934963015,841.6854420497921,highway,medium,4042,673,0.0,0.0,1,,
T1,13,traditional,6098,0,0,37.45013353742397,0.0,180.0,325.24094361052835,897.6650043650582,highway,medium,3066,839,0.0,0.0,1,,
