control_type,hour,red_light_waits,yellow_light_waits,congestion_waits
ai,0,0.0,0.0,0.0
ai,1,0.0,0.0,0.0
ai,2,0.0,0.0,0.0
ai,3,0.0,0.0,0.0
ai,4,0.0,0.0,0.0
ai,5,0.0,0.0,0.0
ai,6,0.0,0.0,0.0
ai,7,0.0,0.0,0.0
ai,8,0.0,0.0,0.0
ai,9,0.0,0.0,0.0
ai,10,0.0,0.0,0.0
ai,11,0.0,0.0,0.0
ai,12,0.0,0.0,0.0
ai,13,0.0,0.0,0.0
ai,14,0.0,0.0,0.0
ai,15,0.0,0.0,0.0
ai,16,0.0,0.0,0.0
ai,17,0.0,0.0,0.0
ai,18,0.0,0.0,0.0
ai,19,0.0,0.0,0.0
ai,20,0.0,0.0,0.0
ai,21,0.0,0.0,0.0
ai,22,0.0,0.0,0.0
ai,23,0.0,0.0,0.0
traditional,0,0.0,0.0,0.0
traditional,1,4.0,0.0,0.0
traditional,2,11.0,1.0,0.0
traditional,3,11.0,13.0,0.0
traditional,4,11.0,23.0,0.0
traditional,5,11.0,41.0,0.0
traditional,6,11.0,41.0,0.0
traditional,7,11.0,47.0,0.0
traditional,8,15.0,63.0,0.0
traditional,9,11.0,50.0,0.0
traditional,10,11.0,89.0,0.0
traditional,11,11.0,100.0,0.0
traditional,12,11.0,150.0,0.0
traditional,13,11.0,150.0,0.0
traditional,14,11.0,153.0,0.0
traditional,15,15.0,181.0,0.0
traditional,16,16.0,166.0,0.0
traditional,17,16.0,246.0,0.0
traditional,18,16.0,257.0,0.0
traditional,19,16.0,333.0,0.0
traditional,20,16.0,333.0,0.0
traditional,21,16.0,336.0,0.0
traditional,22,20.0,369.0,0.0
traditional,23,20.0,355.0,0.0
