intersection_id,hour,control_type,vehicle_count,emergency_vehicle_count,wait_time,emergency_wait_time,cycle_time,fuel_consumption,emissions,road_type,congestion_level,pedestrian_count,bicycle_count,avg_pedestrian_wait,avg_bicycle_wait,day,ai_model_loss,ai_model_val_loss
T1,0,traditional,24,0,25.38027261512828,0.0,70.0,0.6578320446134621,1.8156164431331552,suburban,low,14,3,0.0,0.0,0,,
T1,1,traditional,32,0,33.83963147268115,0.0,70.0,0.9779522594477136,2.6991482360756893,suburban,low,22,4,0.0,0.0,0,,
T1,2,traditional,34,0,28.608584114252007,0.0,70.0,0.9840349306561438,2.7159364086109568,suburban,low,18,3,0.0,0.0,0,,
T1,3,traditional,41,0,27.380336873505662,0.0,70.0,1.1888915578413857,3.281340699642224,suburban,low,28,4,0.0,0.0,0,,
T1,4,traditional,29,0,31.16764954430188,0.0,70.0,0.8080479463359891,2.2302123318873295,suburban,low,15,3,0.0,0.0,0,,
T1,5,traditional,69,0,35.615511424623136,0.0,70.0,2.1539755912946825,5.9449726319733225,suburban,low,42,7,0.0,0.0,0,,
T1,6,traditional,67,0,51.393668189595125,0.0,100.0,2.470054344006366,6.817349989457568,suburban,low,40,7,0.0,0.0,0,,
T1,7,traditional,144,0,89.94726497266521,0.0,130.0,8.728603416255037,26.09852421460256,suburban,low,84,20,0.0,0.0,0,,
T1,8,traditional,125,0,103.39561228669974,0.0,130.0,8.193245440819616,24.497803868050653,suburban,low,84,15,0.0,0.0,0,,
T1,9,traditional,63,0,74.57838885733638,0.0,100.0,3.313455235907513,9.907231155363462,suburban,low,45,7,0.0,0.0,0,,
T1,10,traditional,111,0,54.15884569187655,0.0,110.00000000000001,4.276589431948452,11.803386832177724,suburban,low,65,15,0.0,0.0,0,,
T1,11,traditional,118,0,65.61356212340577,0.0,110.00000000000001,4.926892272457315,14.731407894647372,suburban,low,83,15,0.0,0.0,0,,
T1,12,traditional,133,0,55.56711209301667,0.0,110.00000000000001,5.156929775702559,14.233126180939061,suburban,low,92,14,0.0,0.0,0,,
T1,13,traditional,101,0,60.30816958282088,0.0,110.00000000000001,4.086180707344201,12.217680314959159,suburban,low,58,13,0.0,0.0,0,,
T1,14,traditional,122,0,55.36280903442062,0.0,110.00000000000001,4.748307940021662,13.105329914459785,suburban,low,74,17,0.0,0.0,0,,
T1,15,traditional,119,0,56.58088502193174,0.0,100.0,4.61281471836886,12.731368622698051,suburban,low,81,11,0.0,0.0,0,,
T1,16,traditional,184,0,97.8257377703779,0.0,140.0,11.793175985064543,35.26159619534298,suburban,low,109,26,0.0,0.0,0,,
T1,17,traditional,164,0,108.91587823767033,0.0,140.0,11.195559993635477,33.47472438097007,suburban,low,110,17,0.0,0.0,0,,
T1,18,traditional,126,0,93.05086105411885,0.0,140.0,7.688196705546413,22.987708149583774,suburban,low,72,17,0.0,0.0,0,,
T1,19,traditional,98,0,56.051142670772855,0.0,90.0,3.7631865496849004,10.386394877130323,suburban,low,51,10,0.0,0.0,0,,
T1,20,traditional,98,0,46.487097788287045,0.0,90.0,3.4619191358865975,9.554896815047009,suburban,low,62,11,0.0,0.0,0,,
T1,21,traditional,89,0,45.98066175060708,0.0,90.0,3.108057604582549,8.578238988647835,suburban,low,46,12,0.0,0.0,0,,
T1,22,traditional,39,0,32.711083302904946,0.0,70.0,1.1373107788030472,3.13897774949641,suburban,low,21,5,0.0,0.0,0,,
T1,23,traditional,28,0,37.093150238688516,0.0,70.0,0.8348180175605391,2.3040977284670876,suburban,low,20,3,0.0,0.0,0,,
T1,0,traditional,26,0,38.375104478857125,0.0,70.0,0.7801803930444762,2.153297884802754,suburban,low,14,2,0.0,0.0,1,,
T1,1,traditional,34,0,29.217720968711518,0.0,70.0,0.9906136086843066,2.7340935599686857,suburban,low,20,3,0.0,0.0,1,,
T1,2,traditional,27,0,30.872956403638856,0.0,70.0,0.7824528337905665,2.1595698212619636,suburban,low,17,3,0.0,0.0,1,,
T1,3,traditional,30,0,27.987003292658084,0.0,70.0,0.8961713325973151,2.4734328779685892,suburban,low,18,4,0.0,0.0,1,,
T1,4,traditional,32,0,34.084876182778544,0.0,70.0,0.9804414932552021,2.7060185213843577,suburban,low,23,4,0.0,0.0,1,,
T1,5,traditional,54,0,32.191528636640356,0.0,70.0,1.6530925982775422,4.562535571246016,suburban,low,34,7,0.0,0.0,1,,
T1,6,traditional,62,0,53.36863409989256,0.0,100.0,2.332194447036179,6.436856673819853,suburban,low,44,7,0.0,0.0,1,,
T1,7,traditional,218,0,90.5648700268507,0.0,130.0,13.3329851106909,39.86562548096579,suburban,low,137,22,0.0,0.0,1,,
T1,8,traditional,208,0,104.950964903225,0.0,130.0,13.871028104526387,41.474374032533895,suburban,low,142,30,0.0,0.0,1,,
T1,9,traditional,69,0,60.31653153761886,0.0,100.0,3.237417856916366,9.679879392179934,suburban,low,40,9,0.0,0.0,1,,
T1,10,traditional,103,0,58.78778102535283,0.0,110.00000000000001,4.0669592746485375,11.224807598029964,suburban,low,65,14,0.0,0.0,1,,
T1,11,traditional,114,0,67.92233964994531,0.0,110.00000000000001,4.895231034977966,14.636740794584119,suburban,low,75,14,0.0,0.0,1,,
T1,12,traditional,112,0,52.01764891741002,0.0,110.00000000000001,4.227742845709114,11.668570254157155,suburban,low,57,13,0.0,0.0,1,,
T1,13,traditional,118,0,59.06261456062041,0.0,110.00000000000001,4.677301170315193,12.90935123006993,suburban,low,80,13,0.0,0.0,1,,
T1,14,traditional,123,0,61.32691845936326,0.0,110.00000000000001,4.986527700605626,14.90971782481082,suburban,low,65,17,0.0,0.0,1,,
T1,15,traditional,143,0,56.656677339636644,0.0,100.0,5.608381551315011,15.47913308162943,suburban,low,72,15,0.0,0.0,1,,
T1,16,traditional,175,0,93.46905339559954,0.0,140.0,10.88640396827769,32.55034786515029,suburban,low,93,19,0.0,0.0,1,,
