control_type,hour,red_light_waits,yellow_light_waits,congestion_waits
ai,0,0.0,0.0,0.0
ai,1,0.0,1.76,0.0
ai,2,0.0,1.76,0.0
ai,3,0.0,1.76,0.0
ai,4,0.0,1.76,0.0
ai,5,0.0,1.76,0.0
ai,6,0.0,1.76,0.0
ai,7,0.0,1.76,0.0
ai,8,0.0,1.76,0.0
ai,9,0.0,1.76,0.0
ai,10,0.0,1.76,0.0
ai,11,0.0,1.76,0.0
ai,12,0.0,1.76,0.0
ai,13,0.0,1.76,0.0
ai,14,0.0,1.76,0.0
ai,15,0.0,1.76,0.0
ai,16,0.0,1.76,0.0
ai,17,0.0,1.76,0.0
ai,18,0.0,1.76,0.0
ai,19,0.0,1.76,0.0
ai,20,0.0,1.76,0.0
ai,21,0.0,1.76,0.0
ai,22,0.0,1.76,0.0
ai,23,0.0,1.76,0.0
traditional,0,0.0,0.0,0.0
traditional,1,3.68,0.0,0.0
traditional,2,9.52,1.48,0.0
traditional,3,9.52,12.8,0.0
traditional,4,9.52,23.92,0.0
traditional,5,9.52,42.72,0.0
traditional,6,9.52,42.72,0.0
traditional,7,9.52,46.24,0.0
traditional,8,13.36,61.52,0.0
traditional,9,12.64,47.76,0.0
traditional,10,12.64,89.16,0.0
traditional,11,12.64,100.36,0.0
traditional,12,12.64,153.04,0.0
traditional,13,12.64,153.04,0.0
traditional,14,12.64,156.8,0.0
traditional,15,16.52,183.92,0.0
traditional,16,15.08,170.28,0.0
traditional,17,15.08,253.12,0.0
traditional,18,15.08,264.2,0.0
traditional,19,15.08,343.84,0.0
traditional,20,15.08,343.84,0.0
traditional,21,15.08,347.48,0.0
traditional,22,18.88,375.72,0.0
traditional,23,18.92,361.0,0.0
