intersection_id,hour,control_type,vehicle_count,wait_time,emergency_wait_time,fuel_consumption,emissions,cycle_time,road_type,congestion_level,pedestrian_count,bicycle_count,avg_pedestrian_wait,avg_bicycle_wait,ai_model_loss,ai_model_val_loss,day
T1,0,traditional,1387,63.5085903413833,15.0,64.73072009667304,193.54485308905237,126.0,highway,medium,269,127,0.0,0.0,,,0
T1,1,traditional,1440,61.726002105733976,15.0,66.72419620064478,199.50534663992792,126.0,highway,medium,297,142,0.0,0.0,,,0
T1,2,traditional,1286,62.12187320302193,15.0,58.887397172917716,176.07331754702398,126.0,highway,medium,247,126,0.0,0.0,,,0
T1,3,traditional,1506,63.84478217745259,15.0,71.09194423289867,212.56491325636702,126.0,highway,medium,312,167,0.0,0.0,,,0
T1,4,traditional,1594,62.974602583716575,15.0,75.38724741429773,225.4078697687502,126.0,highway,medium,325,156,0.0,0.0,,,0
T1,5,traditional,2735,63.04709657833269,15.0,141.28732328329983,422.44909661706646,126.0,highway,medium,570,260,0.0,0.0,,,0
T1,6,traditional,3058,88.79606550004543,15.0,187.63804136221432,561.0377436730208,180.0,highway,medium,597,309,0.0,0.0,,,0
T1,7,traditional,8035,88.7850104025729,15.0,677.692202193289,2026.299684557934,180.0,highway,medium,1624,849,0.0,0.0,,,0
T1,8,traditional,9889,89.8464547389704,15.0,838.1394795157847,2506.037043752196,180.0,highway,medium,1960,967,0.0,0.0,,,0
T1,9,traditional,3016,88.76468877911323,15.0,229.7400270410003,686.9226808525909,180.0,highway,medium,563,316,0.0,0.0,,,0
T1,10,traditional,6038,91.94538146936907,15.0,430.57761627254234,1287.4270726549014,180.0,highway,medium,1218,596,0.0,0.0,,,0
T1,11,traditional,5993,89.07530330927482,15.0,421.71742087727085,1260.9350884230398,180.0,highway,medium,1148,606,0.0,0.0,,,0
T1,12,traditional,7105,89.12730693564899,15.0,500.16777655320163,1495.501651894073,180.0,highway,medium,1434,744,0.0,0.0,,,0
T1,13,traditional,5716,89.43785222955422,15.0,402.880598486213,1204.612989473777,180.0,highway,medium,1180,589,0.0,0.0,,,0
T1,14,traditional,7378,88.61348042592549,15.0,518.06635000866,1549.0183865258934,180.0,highway,medium,1534,723,0.0,0.0,,,0
T1,15,traditional,4723,90.4434179369749,15.0,322.3145610405238,963.7205375111661,180.0,highway,medium,978,448,0.0,0.0,,,0
T1,16,traditional,7452,90.50035662112198,15.0,633.5973022106202,1894.4559336097543,180.0,highway,medium,1515,759,0.0,0.0,,,0
T1,17,traditional,7380,89.34479882786616,15.0,624.2043876784622,1866.371119158602,180.0,highway,medium,1521,735,0.0,0.0,,,0
T1,18,traditional,8563,89.21048815956583,15.0,723.6169074902176,2163.6145533957506,180.0,highway,medium,1756,822,0.0,0.0,,,0
T1,19,traditional,3786,80.77814017429446,15.0,232.79372469239314,696.0532368302554,162.0,highway,medium,710,397,0.0,0.0,,,0
T1,20,traditional,3805,81.51031766813486,15.0,235.2176474433817,703.3007658557113,162.0,highway,medium,742,360,0.0,0.0,,,0
T1,21,traditional,3854,79.10330824624054,15.0,235.92026462278875,705.4015912221383,162.0,highway,medium,778,407,0.0,0.0,,,0
T1,22,traditional,1591,62.959600523859415,15.0,75.23335517264681,224.94773196621395,126.0,highway,medium,345,163,0.0,0.0,,,0
T1,23,traditional,1618,63.66241517395709,15.0,76.97566871442172,230.15724945612092,126.0,highway,medium,328,172,0.0,0.0,,,0
T1,0,traditional,1199,63.4528878326386,15.0,55.01237562008223,164.48700310404587,126.0,highway,medium,238,114,0.0,0.0,,,1
T1,1,traditional,1665,63.40996565366579,15.0,79.4230673122465,237.47497126361705,126.0,highway,medium,336,160,0.0,0.0,,,1
T1,2,traditional,996,63.616050570706065,15.0,44.9777332907171,134.48342253924412,126.0,highway,medium,214,96,0.0,0.0,,,1
T1,3,traditional,1548,62.72955584137004,15.0,72.75367347909872,217.53348370250518,126.0,highway,medium,329,165,0.0,0.0,,,1
T1,4,traditional,1386,63.859329999571614,15.0,64.7940437779711,193.73419089613358,126.0,highway,medium,271,128,0.0,0.0,,,1
T1,5,traditional,2989,63.846185282642246,15.0,158.01585939789092,472.46741959969387,126.0,highway,medium,600,284,0.0,0.0,,,1
T1,6,traditional,2925,90.14810144366581,15.0,179.36246420110993,536.2937679613187,180.0,highway,medium,581,262,0.0,0.0,,,1
T1,7,traditional,7959,91.18540574590288,15.0,678.7342104673863,2029.4152892974848,180.0,highway,medium,1539,768,0.0,0.0,,,1
T1,8,traditional,7477,90.12296714526393,15.0,634.5772171807819,1897.3858793705376,180.0,highway,medium,1487,716,0.0,0.0,,,1
T1,9,traditional,2827,87.36798429103038,15.0,210.9222475968814,630.6575203146754,180.0,highway,medium,584,274,0.0,0.0,,,1
T1,10,traditional,5387,90.88033724015538,15.0,382.0467575654264,1142.3198051206248,180.0,highway,medium,1048,537,0.0,0.0,,,1
T1,11,traditional,4726,89.43028443493664,15.0,320.973637344439,959.7111756598725,180.0,highway,medium,931,517,0.0,0.0,,,1
T1,12,traditional,5835,89.56296835223519,15.0,411.5831922264704,1230.6337447571464,180.0,highway,medium,1178,570,0.0,0.0,,,1
T1,13,traditional,5892,90.10059688751788,15.0,416.6710553194904,1245.8464554052762,180.0,highway,medium,1217,598,0.0,0.0,,,1
T1,14,traditional,4844,88.74833715269311,15.0,330.15706945557065,987.1696376721562,180.0,highway,medium,981,477,0.0,0.0,,,1
T1,15,traditional,5872,89.75338541078307,15.0,414.5837212255805,1239.6053264644856,180.0,highway,medium,1211,574,0.0,0.0,,,1
T1,16,traditional,8576,90.17795984391576,15.0,727.9751914660784,2176.645822483574,180.0,highway,medium,1744,845,0.0,0.0,,,1
T1,17,traditional,7605,89.63920693043433,15.0,643.9898592833991,1925.5296792573633,180.0,highway,medium,1543,764,0.0,0.0,,,1
T1,18,traditional,8346,88.45262017495422,15.0,702.7452261104522,2101.208226070252,180.0,highway,medium,1654,849,0.0,0.0,,,1
T1,19,traditional,3664,81.99016751451948,15.0,225.13307843776266,673.1479045289103,162.0,highway,medium,751,388,0.0,0.0,,,1
T1,20,traditional,3403,79.58216747848618,15.0,202.95944763791633,606.8487484373697,162.0,highway,medium,679,364,0.0,0.0,,,1
T1,21,traditional,3891,81.84586140140225,15.0,242.27123505875784,724.3909928256859,162.0,highway,medium,767,437,0.0,0.0,,,1
T1,22,traditional,1374,62.67785602938532,15.0,63.69313544797822,190.44247498945487,126.0,highway,medium,289,154,0.0,0.0,,,1
T1,23,traditional,1354,63.48941769483962,15.0,63.02471679971715,188.44390323115428,126.0,highway,medium,248,142,0.0,0.0,,,1
T1,0,traditional,1477,63.63743921662644,15.0,69.50263674716801,207.81288387403237,126.0,highway,medium,298,148,0.0,0.0,,,2
T1,1,traditional,1503,64.76028594310229,15.0,71.40045661332141,213.487365273831,126.0,highway,medium,313,162,0.0,0.0,,,2
T1,2,traditional,1391,63.54180444732224,15.0,64.98172662591263,194.29536261147874,126.0,highway,medium,284,159,0.0,0.0,,,2
T1,3,traditional,1389,61.01774546641011,15.0,63.636537108053744,190.27324595308068,126.0,highway,medium,278,126,0.0,0.0,,,2
T1,4,traditional,1486,63.057405687277374,15.0,69.64813443568812,208.2479219627075,126.0,highway,medium,298,147,0.0,0.0,,,2
T1,5,traditional,2771,63.605863248527434,15.0,144.0662371880715,430.75804919233383,126.0,highway,medium,548,261,0.0,0.0,,,2
T1,6,traditional,3334,88.29886399697008,15.0,207.61236469794176,620.7609704468458,180.0,highway,medium,693,332,0.0,0.0,,,2
T1,7,traditional,6266,90.9256350147824,15.0,533.6864895525654,1595.7226037621704,180.0,highway,medium,1266,626,0.0,0.0,,,2
T1,8,traditional,9938,90.50626283932911,15.0,844.9114607655699,2526.285267689054,180.0,highway,medium,1976,985,0.0,0.0,,,2
T1,9,traditional,2521,89.56628963243057,15.0,186.10128774999512,556.4428503724854,180.0,highway,medium,455,243,0.0,0.0,,,2
T1,10,traditional,4564,89.81263319259833,15.0,307.8202780943916,920.3826315022309,180.0,highway,medium,919,466,0.0,0.0,,,2
T1,11,traditional,6681,90.20819430084131,15.0,472.73494351677465,1413.477481115156,180.0,highway,medium,1353,684,0.0,0.0,,,2
T1,12,traditional,5660,89.1885900730925,15.0,398.64644853852224,1191.9528811301814,180.0,highway,medium,1108,590,0.0,0.0,,,2
T1,13,traditional,5407,89.78720052580282,15.0,381.7824082979271,1141.529400810802,180.0,highway,medium,1075,562,0.0,0.0,,,2
T1,14,traditional,6361,89.81391166513109,15.0,449.2614378027771,1343.2916990303036,180.0,highway,medium,1289,608,0.0,0.0,,,2
T1,15,traditional,5771,88.82486341016227,15.0,405.70142241929,1213.047253033677,180.0,highway,medium,1168,597,0.0,0.0,,,2
T1,16,traditional,7646,90.46153158607277,15.0,649.8667730353567,1943.1016513757163,180.0,highway,medium,1550,702,0.0,0.0,,,2
T1,17,traditional,8818,89.38136804404336,15.0,745.7392053323118,2229.7602239436123,180.0,highway,medium,1729,926,0.0,0.0,,,2
T1,18,traditional,6829,90.4187229386182,15.0,580.2620834732139,1734.9836295849093,180.0,highway,medium,1415,671,0.0,0.0,,,2
T1,19,traditional,3940,79.83241473761869,15.0,243.50029082703705,728.0658695728407,162.0,highway,medium,800,415,0.0,0.0,,,2
T1,20,traditional,3965,81.90660196558196,15.0,248.03830485569773,741.6345315185363,162.0,highway,medium,805,434,0.0,0.0,,,2
T1,21,traditional,4056,82.67851397990577,15.0,256.1034920029988,765.7494410889664,162.0,highway,medium,782,362,0.0,0.0,,,2
T1,22,traditional,1482,63.95198817972733,15.0,69.93590013513487,209.10834140405325,126.0,highway,medium,286,141,0.0,0.0,,,2
T1,23,traditional,1600,63.92027093447583,15.0,76.26842157192175,228.042580500046,126.0,highway,medium,311,158,0.0,0.0,,,2
T1,0,traditional,1391,62.55530362711212,15.0,64.52921869968226,192.94236391204996,126.0,highway,medium,274,152,0.0,0.0,,,3
T1,1,traditional,1577,63.71498074572689,15.0,74.85175460081453,223.80674625643545,126.0,highway,medium,309,149,0.0,0.0,,,3
T1,2,traditional,1484,60.4763296978816,15.0,68.33906441746976,204.33380260823455,126.0,highway,medium,284,131,0.0,0.0,,,3
T1,3,traditional,1517,63.792471063041795,15.0,71.6945786675161,214.36679021587312,126.0,highway,medium,323,160,0.0,0.0,,,3
T1,4,traditional,1474,61.94431143634014,15.0,68.53568720991316,204.92170475764033,126.0,highway,medium,312,153,0.0,0.0,,,3
T1,5,traditional,2924,62.78918189049298,15.0,152.91802889634346,457.2249064000669,126.0,highway,medium,573,314,0.0,0.0,,,3
T1,6,traditional,2904,90.85316045904521,15.0,178.5337090703861,533.8157901204544,180.0,highway,medium,576,290,0.0,0.0,,,3
T1,7,traditional,9365,90.36228875342628,15.0,795.7379449603793,2379.256455431534,180.0,highway,medium,1874,920,0.0,0.0,,,3
