control_type,hour,red_light_waits,yellow_light_waits,congestion_waits
ai,0,0.0,0.0,0.0
ai,1,0.0,1.4,0.0
ai,2,0.0,1.4,0.0
ai,3,0.0,1.4,0.0
ai,4,0.0,1.4,0.0
ai,5,0.0,1.4,0.0
ai,6,0.0,1.4,0.0
ai,7,0.0,1.4,0.0
ai,8,0.0,1.4,0.0
ai,9,0.0,1.4,0.0
ai,10,0.0,1.4,0.0
ai,11,0.0,1.4,0.0
ai,12,0.0,1.4,0.0
ai,13,0.0,1.4,0.0
ai,14,0.0,1.4,0.0
ai,15,0.0,1.4,0.0
ai,16,0.0,1.4,0.0
ai,17,0.0,1.4,0.0
ai,18,0.0,1.4,0.0
ai,19,0.0,1.4,0.0
ai,20,0.0,1.4,0.0
ai,21,0.0,1.4,0.0
ai,22,0.0,1.4,0.0
ai,23,0.0,1.4,0.0
traditional,0,0.0,0.0,0.0
traditional,1,3.8,0.0,0.0
traditional,2,9.84,1.08,0.0
traditional,3,9.84,12.36,0.0
traditional,4,9.84,23.28,0.0
traditional,5,9.84,42.0,0.0
traditional,6,9.84,42.0,0.0
traditional,7,9.84,45.48,0.0
traditional,8,13.56,60.76,0.0
traditional,9,12.8,47.56,0.0
traditional,10,12.8,88.88,0.0
traditional,11,12.8,100.32,0.0
traditional,12,12.8,153.28,0.0
traditional,13,12.8,153.28,0.0
traditional,14,12.8,156.96,0.0
traditional,15,16.48,183.12,0.0
traditional,16,15.12,169.56,0.0
traditional,17,15.12,252.96,0.0
traditional,18,15.12,264.6,0.0
traditional,19,15.12,343.72,0.0
traditional,20,15.12,343.72,0.0
traditional,21,15.12,347.6,0.0
traditional,22,18.76,373.4,0.0
traditional,23,18.68,357.72,0.0
