intersection_id,hour,control_type,vehicle_count,wait_time,emergency_wait_time,fuel_consumption,emissions,cycle_time,road_type,congestion_level,pedestrian_count,bicycle_count,avg_pedestrian_wait,avg_bicycle_wait,ai_model_loss,ai_model_val_loss,day
T1,0,traditional,18,2156.0555555555557,0,36.7021,101.27396683133381,126.0,highway,low,2,2,1118.3660869565217,0.0,,,0
T1,1,traditional,18,2131.3888888888887,0,45.9461,126.71951470923744,126.0,highway,low,3,2,1090.0714285714287,0.0,,,0
T1,2,traditional,11,2413.0,0,27.60835,76.18376339951865,126.0,highway,low,1,1,1183.1271331058022,0.0,,,0
T1,3,traditional,12,2415.5454545454545,0,25.59487,70.59948997625898,126.0,highway,low,3,0,1127.764705882353,0.0,,,0
T1,4,traditional,16,2184.9375,0,35.4713,97.83035577841726,126.0,highway,low,3,1,1078.0981848184817,0.0,,,0
T1,5,traditional,15,2251.8,0,44.826449999999994,123.65774995398768,126.0,highway,low,4,1,1187.255300353357,0.0,,,0
T1,6,traditional,10,2581.8888888888887,0,20.48394,56.535674399999984,180.0,highway,low,3,0,1142.6129310344827,0.0,,,0
T1,7,traditional,12,2447.7272727272725,0,36.43902,100.5319749412322,180.0,highway,low,2,2,1169.3316062176166,0.0,,,0
T1,8,traditional,13,2343.153846153846,0,35.41074,97.67336879999999,180.0,highway,low,4,1,1104.4807692307693,0.0,,,0
T1,9,traditional,13,2331.5384615384614,0,33.24978,91.74096362007434,180.0,highway,low,1,2,1093.3684661525278,0.0,,,0
T1,10,traditional,18,2257.9333333333334,0,36.27580555555556,100.05767851019715,180.0,highway,low,3,1,1122.53991416309,0.0,,,0
T1,11,traditional,15,2265.5333333333333,0,36.30105,100.11488062670709,180.0,highway,low,4,2,1118.2149954832882,0.0,,,0
T1,12,traditional,15,2267.266666666667,0,39.4375,108.77878314393936,180.0,highway,low,5,1,1157.865280289331,0.0,,,0
T1,13,traditional,16,2241.1875,0,45.50075,125.50944562456625,180.0,highway,low,6,1,1082.9449866903283,0.0,,,0
T1,14,traditional,19,2162.2631578947367,0,52.21079999999999,143.9945893928571,180.0,highway,low,6,3,1165.2284444444444,0.0,,,0
T1,15,traditional,11,2445.4545454545455,0,27.046550000000003,74.61899597867298,180.0,highway,low,1,2,1146.1764705882354,0.0,,,0
T1,16,traditional,14,2391.4166666666665,0,46.08766,127.15795752614106,180.0,highway,low,2,1,1124.298076923077,0.0,,,0
T1,17,traditional,17,2266.133333333333,0,44.25642181818182,122.07049374004691,180.0,highway,low,1,4,1147.2934131736527,0.0,,,0
T1,18,traditional,15,2267.0666666666666,0,43.020540000000004,118.66155961640092,180.0,highway,low,3,1,1133.088209606987,0.0,,,0
T1,19,traditional,16,2239.8,0,43.94190625,121.2327989388524,162.0,highway,low,3,2,1132.5856540084387,0.0,,,0
T1,20,traditional,16,2251.733333333333,0,31.429299999999998,86.6894328849693,162.0,highway,low,4,2,1172.6881057268722,0.0,,,0
T1,21,traditional,14,2288.1428571428573,0,39.7629,109.69941477272725,162.0,highway,low,5,1,1126.5315391084946,0.0,,,0
T1,22,traditional,13,2314.3076923076924,0,27.8219,76.7763930828625,126.0,highway,low,3,0,1132.5305410122164,0.0,,,0
T1,23,traditional,9,2562.3333333333335,0,18.9942,52.409478159468435,126.0,highway,low,1,0,1120.0370051635111,0.0,,,0
T1,0,traditional,16,2402.5625,0,28.45775,78.53211475021531,126.0,highway,low,5,2,1058.528384279476,0.0,,,1
T1,1,traditional,10,2482.3,0,24.904649999999997,68.72081142797201,126.0,highway,low,2,0,1123.8320413436693,0.0,,,1
T1,2,traditional,10,2482.6,0,21.5174,59.37423847910862,126.0,highway,low,2,1,1177.4222222222222,0.0,,,1
T1,3,traditional,10,2476.0,0,20.8487,57.542412,126.0,highway,low,1,0,1110.5426774483378,0.0,,,1
T1,4,traditional,11,2481.8,0,31.007466666666666,85.60058479925303,126.0,highway,low,3,0,1112.7734241908006,0.0,,,1
T1,5,traditional,14,2377.4166666666665,0,22.8106,62.91353568333332,126.0,highway,low,5,2,1138.464499572284,0.0,,,1
T1,6,traditional,11,2433.3636363636365,0,25.573999999999998,70.55609636363636,180.0,highway,low,2,1,1153.5657093124455,0.0,,,1
T1,7,traditional,14,2345.6153846153848,0,37.990485,104.77313148238007,180.0,highway,low,1,2,1174.4245283018868,0.0,,,1
T1,8,traditional,13,2442.2727272727275,0,26.70389333333333,73.67353325533094,180.0,highway,low,2,2,1135.9256474519632,0.0,,,1
T1,9,traditional,13,2380.3333333333335,0,37.177620000000005,102.55684398293444,180.0,highway,low,5,3,1141.0984589041095,0.0,,,1
T1,10,traditional,11,2441.2727272727275,0,24.8472,68.53754856057006,180.0,highway,low,4,0,1140.652972027972,0.0,,,1
T1,11,traditional,13,2344.3076923076924,0,26.787049999999997,73.89809337060997,180.0,highway,low,2,1,1082.7471958584988,0.0,,,1
T1,12,traditional,17,2228.6875,0,38.65445833333333,106.64897599195238,180.0,highway,low,2,3,1138.0591304347827,0.0,,,1
T1,13,traditional,15,2271.5333333333333,0,41.8861,115.53281813907783,180.0,highway,low,4,2,1111.1490467937608,0.0,,,1
T1,14,traditional,15,2301.4285714285716,0,40.51136666666666,111.76482271940048,180.0,highway,low,4,2,1066.5657894736842,0.0,,,1
T1,15,traditional,14,2339.3076923076924,0,34.7162,95.78716629787233,180.0,highway,low,4,0,1113.497487437186,0.0,,,1
T1,16,traditional,18,2235.5625,0,55.31742,152.55229734287698,180.0,highway,low,5,1,1170.052537845058,0.0,,,1
T1,17,traditional,15,2270.3333333333335,0,46.380359999999996,127.9129631963691,180.0,highway,low,2,0,1157.5137457044673,0.0,,,1
T1,18,traditional,22,2142.2,0,64.61782909090908,178.20521990135575,180.0,highway,low,3,2,1116.805860805861,0.0,,,1
T1,19,traditional,9,2583.6666666666665,0,18.6871,51.562116820598014,162.0,highway,low,3,1,1097.692712906058,0.0,,,1
T1,20,traditional,11,2578.3333333333335,0,29.652974999999998,81.81947705249998,162.0,highway,low,3,0,1161.8356401384083,0.0,,,1
T1,21,traditional,14,2381.0833333333335,0,25.416999999999998,70.10220408333332,162.0,highway,low,2,4,1057.7375215146299,0.0,,,1
T1,22,traditional,10,2500.7,0,20.51425,56.61933,126.0,highway,low,1,2,1105.327630453379,0.0,,,1
T1,23,traditional,12,2363.5,0,35.3963,97.65936453699788,126.0,highway,low,1,3,1100.3383259911893,0.0,,,1
T1,0,traditional,8,2660.375,0,17.96875,49.61093425155925,126.0,highway,low,0,1,1139.1971830985915,0.0,,,2
T1,1,traditional,12,2390.7272727272725,0,24.67425,68.08715554004854,126.0,highway,low,3,2,1109.123076923077,0.0,,,2
T1,2,traditional,15,2260.714285714286,0,33.9002,93.51173543099067,126.0,highway,low,2,5,1127.3145228215767,0.0,,,2
T1,3,traditional,10,2472.9,0,19.6096,54.109628074179746,126.0,highway,low,0,0,1119.871244635193,0.0,,,2
T1,4,traditional,12,2415.7272727272725,0,27.535249999999998,75.9512867978208,126.0,highway,low,2,0,1158.3875106929,0.0,,,2
T1,5,traditional,20,2129.1111111111113,0,45.68451818181818,126.01129289660986,126.0,highway,low,1,1,1105.2207792207791,0.0,,,2
T1,6,traditional,12,2377.25,0,27.757649999999998,76.59772980817608,180.0,highway,low,3,0,1179.9553805774278,0.0,,,2
T1,7,traditional,12,2391.4166666666665,0,28.381680000000003,78.27926429875518,180.0,highway,low,1,1,1154.687275985663,0.0,,,2
