intersection_id,hour,control_type,vehicle_count,emergency_vehicle_count,wait_time,emergency_wait_time,cycle_time,fuel_consumption,emissions,road_type,congestion_level,pedestrian_count,bicycle_count,avg_pedestrian_wait,avg_bicycle_wait,day,ai_model_loss,ai_model_val_loss
T1,0,traditional,94,0,18.996161982117,0.0,70.0,2.520971445541669,6.957881189695007,suburban,medium,58,10,0.0,0.0,0,,
T1,1,traditional,99,0,18.3431788906513,0.0,70.0,2.595735929778179,7.164231166187773,suburban,medium,58,14,0.0,0.0,0,,
T1,2,traditional,136,0,15.39310337035029,0.0,70.0,3.495723981241708,9.648198188227113,suburban,medium,86,18,0.0,0.0,0,,
T1,3,traditional,123,0,17.118731168016172,0.0,70.0,3.2248314370454443,8.900534766245425,suburban,medium,66,17,0.0,0.0,0,,
T1,4,traditional,93,0,16.949386559625065,0.0,70.0,2.40607412746077,6.640764591791725,suburban,medium,64,13,0.0,0.0,0,,
T1,5,traditional,214,0,20.54683306410425,0.0,70.0,6.009729903322341,16.58685453316966,suburban,medium,121,29,0.0,0.0,0,,
T1,6,traditional,187,0,29.31061519565204,0.0,100.0,5.751720761085016,15.874749300594642,suburban,medium,130,27,0.0,0.0,0,,
T1,7,traditional,660,0,43.75721375337107,0.0,130.0,30.529921386581062,84.26258302696372,suburban,medium,483,97,0.0,0.0,0,,
T1,8,traditional,680,0,43.291259145553695,0.0,130.0,31.4188142627147,86.71592736509257,suburban,medium,400,77,0.0,0.0,0,,
T1,9,traditional,189,0,37.77403340114143,0.0,100.0,7.594188423000168,20.95996004748046,suburban,medium,138,25,0.0,0.0,0,,
T1,10,traditional,327,0,31.392221732579838,0.0,110.00000000000001,10.526211280745743,29.052343134858248,suburban,medium,234,47,0.0,0.0,0,,
T1,11,traditional,347,0,28.405503334702505,0.0,110.00000000000001,10.864174046822754,29.9851203692308,suburban,medium,207,50,0.0,0.0,0,,
T1,12,traditional,301,0,32.11884530644629,0.0,110.00000000000001,9.741132352004849,26.88552529153338,suburban,medium,215,38,0.0,0.0,0,,
T1,13,traditional,357,0,31.969222852887704,0.0,110.00000000000001,11.612933173977062,32.05169556017669,suburban,medium,205,42,0.0,0.0,0,,
T1,14,traditional,367,0,29.678979922156568,0.0,110.00000000000001,11.680136089723193,32.23717560763601,suburban,medium,231,40,0.0,0.0,0,,
T1,15,traditional,459,0,30.62030235083236,0.0,100.0,14.913586518917812,41.16149879221316,suburban,medium,335,61,0.0,0.0,0,,
T1,16,traditional,570,0,45.75383449046162,0.0,140.0,26.480899521187,73.0872826784761,suburban,medium,339,74,0.0,0.0,0,,
T1,17,traditional,573,0,43.30063707790928,0.0,140.0,25.972121992349052,71.68305669888338,suburban,medium,402,62,0.0,0.0,0,,
T1,18,traditional,547,0,46.50199710677379,0.0,140.0,25.417378575063136,70.15196486717424,suburban,medium,380,80,0.0,0.0,0,,
T1,19,traditional,244,0,33.49013405535891,0.0,90.0,7.927315293389805,21.879390209755858,suburban,medium,150,35,0.0,0.0,0,,
T1,20,traditional,236,0,26.56501866542917,0.0,90.0,7.0827813548379845,19.548476539352833,suburban,medium,173,25,0.0,0.0,0,,
T1,21,traditional,243,0,24.55401438374602,0.0,90.0,7.152306442788622,19.740365782096596,suburban,medium,164,30,0.0,0.0,0,,
T1,22,traditional,91,0,19.416673146440864,0.0,70.0,2.458985192449293,6.786799131160048,suburban,medium,45,13,0.0,0.0,0,,
T1,23,traditional,84,0,17.951331556665384,0.0,70.0,2.216711351496965,6.118123330131623,suburban,medium,60,9,0.0,0.0,0,,
T1,0,traditional,96,0,18.88404788526375,0.0,70.0,2.53842621059372,7.006056341238667,suburban,medium,48,10,0.0,0.0,1,,
T1,1,traditional,70,0,17.888697477999465,0.0,70.0,1.87055113396401,5.162721129740667,suburban,medium,42,8,0.0,0.0,1,,
T1,2,traditional,97,0,16.572100464346306,0.0,70.0,2.51916227573802,6.952887881036935,suburban,medium,55,12,0.0,0.0,1,,
