control_type,hour,day,intersection_id,intersection_type,wait_time,wait_time_max,wait_time_min,wait_time_median,wait_time_std,vehicle_count,vehicles_waited,wait_episodes,red_light_waits,yellow_light_waits,congestion_waits
traditional,0,0,T1,suburban_low,0.0,0.0,inf,0.0,0.0,45,0,0,0,0,0
traditional,1,0,T1,suburban_low,1.7874999999999936,2.199999999999992,1.2999999999999954,1.999999999999993,0.38547859862773054,53,8,8,4,0,0
traditional,2,0,T1,suburban_low,6.881250000000013,12.300000000000031,1.2999999999999954,6.800000000000013,5.106762520178533,52,16,20,11,1,0
traditional,3,0,T1,suburban_low,20.317391304347947,27.300000000000157,11.400000000000034,22.400000000000176,6.377382056170065,61,23,35,11,12,0
traditional,4,0,T1,suburban_low,28.912903225806723,37.400000000000375,21.500000000000178,27.100000000000158,5.5882793205806305,53,31,55,11,24,0
traditional,5,0,T1,suburban_low,39.55128205128248,52.40000000000052,25.100000000000342,37.400000000000375,9.688133682695643,95,39,78,11,43,0
traditional,6,0,T1,suburban_low,39.55128205128248,52.40000000000052,25.100000000000342,37.400000000000375,9.688133682695643,73,39,78,11,43,0
traditional,7,0,T1,suburban_low,33.39032258064556,52.40000000000052,1.6000000000001435,42.60000000000046,20.11557500944142,403,31,106,11,47,0
traditional,8,0,T1,suburban_low,8.36285714285723,17.500000000000114,1.6000000000001435,7.500000000000057,6.115978403880688,354,35,141,15,62,0
traditional,9,0,T1,suburban_low,10.791428571428634,17.500000000000114,1.8999999999999932,12.70000000000004,5.218339715633272,103,35,181,12,49,0
traditional,10,0,T1,suburban_low,27.810869565217587,42.60000000000029,12.70000000000004,27.900000000000166,10.42818564111693,301,46,223,12,91,0
traditional,11,0,T1,suburban_low,31.700000000000273,42.60000000000029,15.300000000000129,32.80000000000024,7.85024179858794,246,54,271,12,103,0
traditional,12,0,T1,suburban_low,45.43484848484896,67.70000000000064,15.300000000000129,47.55000000000054,15.16429710851212,264,66,321,12,157,0
traditional,13,0,T1,suburban_low,45.43484848484896,67.70000000000064,15.300000000000129,47.55000000000054,15.16429710851212,248,66,321,12,157,0
traditional,14,0,T1,suburban_low,42.89310344827633,67.70000000000064,2.900000000000148,49.05000000000054,21.360339191328784,250,58,377,12,161,0
traditional,15,0,T1,suburban_low,15.25862068965531,32.80000000000023,2.499999999999991,14.150000000000126,10.78947498775068,247,58,438,16,187,0
traditional,16,0,T1,suburban_low,16.6689655172415,32.80000000000023,2.499999999999991,14.150000000000126,9.710005626912611,277,58,506,16,171,0
traditional,17,0,T1,suburban_low,33.72432432432457,57.90000000000042,5.499999999999904,32.85000000000025,15.487709257891568,282,74,575,16,257,0
traditional,18,0,T1,suburban_low,35.86666666666696,57.90000000000042,5.499999999999904,37.70000000000041,13.338054719624848,217,81,650,16,268,0
traditional,19,0,T1,suburban_low,53.06521739130489,83.00000000000077,15.300000000000132,53.40000000000053,18.61432031004412,143,92,727,16,347,0
traditional,20,0,T1,suburban_low,53.06521739130489,83.00000000000077,15.300000000000132,53.40000000000053,18.61432031004412,153,92,727,16,347,0
traditional,21,0,T1,suburban_low,51.69411764705936,83.00000000000077,2.8000000000001535,53.600000000000534,23.21133776179328,181,85,810,16,352,0
traditional,22,0,T1,suburban_low,23.055000000000184,48.10000000000034,2.8000000000001535,20.800000000000196,14.953619127154571,51,80,897,18,381,0
traditional,23,0,T1,suburban_low,24.342307692307873,48.10000000000034,3.099999999999989,20.800000000000196,13.964869101911901,53,78,990,18,363,0
traditional,0,1,T1,suburban_low,0.0,0.0,inf,0.0,0.0,64,0,0,0,0,0
traditional,1,1,T1,suburban_low,1.9142857142857075,2.199999999999992,1.2999999999999954,2.199999999999992,0.3943478211954918,52,7,7,4,0,0
traditional,2,1,T1,suburban_low,6.985714285714296,12.300000000000031,1.2999999999999954,6.800000000000013,5.083004896270552,41,14,18,11,0,0
traditional,3,1,T1,suburban_low,20.305263157894853,27.300000000000157,11.400000000000034,22.200000000000173,6.562691495689159,46,19,30,11,9,0
traditional,4,1,T1,suburban_low,29.307407407407677,37.400000000000375,21.500000000000178,27.300000000000157,5.491537322767941,55,27,49,11,20,0
traditional,5,1,T1,suburban_low,38.908571428571854,52.40000000000052,25.100000000000342,37.400000000000375,9.801031182732734,148,35,69,11,36,0
traditional,6,1,T1,suburban_low,38.908571428571854,52.40000000000052,25.100000000000342,37.400000000000375,9.801031182732734,128,35,69,11,36,0
traditional,7,1,T1,suburban_low,32.87777777777817,52.40000000000052,1.6000000000001435,42.40000000000046,20.025101531778336,337,27,96,11,39,0
traditional,8,1,T1,suburban_low,8.256666666666753,17.500000000000114,1.6000000000001435,7.150000000000059,6.152326569861398,355,30,126,15,51,0
