control_type,hour,wait_time,wait_time_max,wait_time_min,wait_time_median,wait_time_std
ai,0,9.598000000000077,9.768000000000077,inf,9.590000000000078,0.14343247337262435
ai,1,7.311000000000044,9.904000000000078,inf,7.312000000000044,2.4857889227825263
ai,2,7.372500000000044,9.95200000000008,inf,7.364000000000045,2.490295709233114
ai,3,7.4035000000000455,9.976000000000079,inf,7.396000000000046,2.4642474008894224
ai,4,7.423000000000045,9.99200000000008,inf,7.4260000000000455,2.4745942127251763
ai,5,7.4435000000000455,10.00800000000008,inf,7.428000000000046,2.4650639083393386
ai,6,7.449000000000046,10.02400000000008,inf,7.444000000000046,2.459762372703727
ai,7,7.461500000000046,10.04000000000008,inf,7.460000000000047,2.4723315665486174
ai,8,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,9,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,10,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,11,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,12,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,13,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,14,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,15,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,16,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,17,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,18,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,19,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,20,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,21,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,22,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
ai,23,7.490000000000046,10.05600000000008,inf,7.490000000000046,2.475641541562527
traditional,0,0.0,0.0,inf,0.0,0.0
traditional,1,1.812023809523803,2.199999999999992,1.3279999999999952,1.8999999999999932,0.37099815845638245
traditional,2,6.894864652014665,12.284000000000031,1.3279999999999952,7.344000000000015,5.05852374002968
traditional,3,20.444243727896936,27.30000000000016,11.428000000000033,22.634000000000174,6.2975133038661735
traditional,4,28.776768353726624,37.38400000000038,21.612000000000176,26.968000000000156,5.547835204639196
traditional,5,39.706920768136996,52.40000000000052,25.100000000000342,39.34800000000042,9.705010338371501
traditional,6,39.706920768136996,52.40000000000052,25.100000000000342,39.34800000000042,9.705010338371501
traditional,7,33.74508391687453,52.40000000000052,1.6280000000001433,44.666000000000494,19.98804577952136
traditional,8,8.46455072150081,17.500000000000114,1.6120000000001375,7.408000000000061,6.165785389806783
traditional,9,10.811789749555803,17.500000000000114,1.9279999999999933,12.588000000000081,5.22149070325856
traditional,10,27.7830761637059,42.60000000000029,12.112000000000041,27.542000000000165,10.450347082097835
traditional,11,31.590163229367487,42.60000000000029,15.30000000000013,32.66000000000026,7.868655445440111
traditional,12,45.639928952485825,67.70000000000064,15.30000000000013,47.52600000000054,15.066433001329514
traditional,13,45.639928952485825,67.70000000000064,15.30000000000013,47.52600000000054,15.066433001329514
traditional,14,43.147081473331355,67.70000000000064,2.3120000000001513,49.042000000000534,21.26087579460357
traditional,15,15.313039207056736,32.80000000000023,2.2480000000001263,14.128000000000126,10.7924263216363
traditional,16,16.725267780470904,32.80000000000023,2.5559999999999907,14.150000000000123,9.691787043130454
traditional,17,34.000395440653186,57.90000000000042,5.499999999999904,33.05000000000025,15.420779845891833
traditional,18,35.93999847008559,57.90000000000042,5.499999999999904,37.43200000000037,13.220565794771751
traditional,19,52.65365805975778,83.00000000000077,15.300000000000132,53.36600000000053,19.04223088519817
traditional,20,52.65365805975778,83.00000000000077,15.300000000000132,53.36600000000053,19.04223088519817
traditional,21,51.63873280444867,83.00000000000077,2.8000000000001535,54.726000000000575,23.376338020973858
traditional,22,22.81762102047917,48.10000000000034,2.8000000000001535,20.750000000000192,15.083183633889616
traditional,23,23.815510952232202,48.10000000000034,3.1279999999999886,20.792000000000193,14.066632133764747
