control_type,hour,red_light_waits,yellow_light_waits,congestion_waits
ai,0,0.0,0.0,0.0
ai,1,0.0,3.3333333333333335,0.0
ai,2,0.0,3.3333333333333335,0.0
ai,3,0.0,3.3333333333333335,0.0
ai,4,0.0,3.3333333333333335,0.0
ai,5,0.0,3.3333333333333335,0.0
ai,6,0.0,3.3333333333333335,0.0
ai,7,0.0,3.3333333333333335,0.0
ai,8,0.0,3.3333333333333335,0.0
ai,9,0.0,3.3333333333333335,0.0
ai,10,0.0,3.3333333333333335,0.0
ai,11,0.0,3.3333333333333335,0.0
ai,12,0.0,3.3333333333333335,0.0
ai,13,0.0,3.3333333333333335,0.0
ai,14,0.0,3.3333333333333335,0.0
ai,15,0.0,3.3333333333333335,0.0
ai,16,0.0,3.3333333333333335,0.0
ai,17,0.0,3.3333333333333335,0.0
ai,18,0.0,3.3333333333333335,0.0
ai,19,0.0,3.3333333333333335,0.0
ai,20,0.0,3.3333333333333335,0.0
ai,21,0.0,3.3333333333333335,0.0
ai,22,0.0,3.3333333333333335,0.0
ai,23,0.0,3.3333333333333335,0.0
traditional,0,0.0,0.0,0.0
traditional,1,3.8333333333333335,0.0,0.0
traditional,2,10.0,1.5,0.0
traditional,3,10.0,13.166666666666666,0.0
traditional,4,10.0,24.666666666666668,0.0
traditional,5,10.0,44.166666666666664,0.0
traditional,6,10.0,44.166666666666664,0.0
traditional,7,10.0,48.0,0.0
traditional,8,13.833333333333334,63.833333333333336,0.0
traditional,9,12.833333333333334,49.333333333333336,0.0
traditional,10,12.833333333333334,92.16666666666667,0.0
traditional,11,12.833333333333334,103.66666666666667,0.0
traditional,12,12.833333333333334,157.83333333333334,0.0
traditional,13,12.833333333333334,157.83333333333334,0.0
traditional,14,12.833333333333334,161.33333333333334,0.0
traditional,15,16.833333333333332,189.0,0.0
traditional,16,15.666666666666666,175.33333333333334,0.0
traditional,17,15.666666666666666,259.8333333333333,0.0
traditional,18,15.666666666666666,271.3333333333333,0.0
traditional,19,15.666666666666666,352.8333333333333,0.0
traditional,20,15.666666666666666,352.8333333333333,0.0
traditional,21,15.666666666666666,356.6666666666667,0.0
traditional,22,19.666666666666668,383.6666666666667,0.0
traditional,23,19.5,368.5,0.0
