control_type,hour,red_light_waits,yellow_light_waits,congestion_waits
ai,0,0.0,0.0,0.0
ai,1,0.0,2.36,0.0
ai,2,0.0,2.32,0.0
ai,3,0.0,2.32,0.04
ai,4,0.0,2.32,0.04
ai,5,0.0,2.32,0.04
ai,6,0.0,2.32,0.04
ai,7,0.0,2.32,0.04
ai,8,0.0,2.32,0.04
ai,9,0.0,2.32,0.04
ai,10,0.0,2.32,0.04
ai,11,0.0,2.32,0.04
ai,12,0.0,2.32,0.04
ai,13,0.0,2.32,0.04
ai,14,0.0,2.32,0.04
ai,15,0.0,2.32,0.04
ai,16,0.0,2.32,0.04
ai,17,0.0,2.32,0.04
ai,18,0.0,2.32,0.04
ai,19,0.0,2.32,0.04
ai,20,0.0,2.32,0.04
ai,21,0.0,2.32,0.04
ai,22,0.0,2.32,0.04
ai,23,0.0,2.32,0.04
traditional,0,0.0,0.0,0.0
traditional,1,3.76,0.0,0.0
traditional,2,10.0,1.2,0.0
traditional,3,10.0,12.36,0.0
traditional,4,10.0,23.56,0.0
traditional,5,10.0,42.2,0.0
traditional,6,10.0,42.2,0.0
traditional,7,10.0,45.88,0.0
traditional,8,13.84,60.88,0.0
traditional,9,12.44,47.52,0.0
traditional,10,12.44,88.68,0.0
traditional,11,12.44,99.92,0.0
traditional,12,12.44,152.6,0.0
traditional,13,12.44,152.6,0.0
traditional,14,12.44,156.48,0.0
traditional,15,16.28,182.68,0.0
traditional,16,15.36,168.72,0.0
traditional,17,15.36,251.56,0.0
traditional,18,15.36,263.12,0.0
traditional,19,15.36,342.52,0.0
traditional,20,15.36,342.52,0.0
traditional,21,15.36,346.56,0.0
traditional,22,19.24,372.64,0.0
traditional,23,19.12,356.72,0.0
