intersection_id,hour,control_type,vehicle_count,wait_time,emergency_wait_time,fuel_consumption,emissions,cycle_time,road_type,congestion_level,pedestrian_count,bicycle_count,avg_pedestrian_wait,avg_bicycle_wait,ai_model_loss,ai_model_val_loss,day
T1,0,traditional,69,57.01745331165952,15.0,2.6216080215264275,6.029698449510783,100,suburban,low,18,6,0.0,0.0,,,0
T1,1,traditional,64,47.070677059883025,15.0,2.2776385706951343,5.238568712598808,100,suburban,low,11,5,0.0,0.0,,,0
T1,2,traditional,37,42.92942251474465,15.0,1.2332353545336234,2.836441315427334,100,suburban,low,3,1,0.0,0.0,,,0
T1,3,traditional,36,49.2120698895061,15.0,1.2342733722790424,2.8388287562417975,100,suburban,low,6,1,0.0,0.0,,,0
T1,4,traditional,56,49.72480252877721,15.0,1.9862694312995846,4.568419691989044,100,suburban,low,14,6,0.0,0.0,,,0
T1,5,traditional,132,47.890313928906046,15.0,4.825080379365629,11.097684872540947,100,suburban,low,19,16,0.0,0.0,,,0
T1,6,traditional,117,51.56362524321911,15.0,4.391064121766648,10.09944748006329,100,suburban,low,22,11,0.0,0.0,,,0
T1,7,traditional,278,51.84256941117372,15.0,12.931166671370828,29.741683344152904,100,suburban,low,64,29,0.0,0.0,,,0
T1,8,traditional,347,51.12602757914126,15.0,16.276203772826523,37.435268677501,100,suburban,low,78,42,0.0,0.0,,,0
T1,9,traditional,124,51.654452840003096,15.0,5.62820160802415,12.944863698455544,100,suburban,low,20,19,0.0,0.0,,,0
T1,10,traditional,228,51.33085303429916,15.0,8.673095465751858,19.948119571229274,100,suburban,low,44,15,0.0,0.0,,,0
T1,11,traditional,216,49.57038038020582,15.0,8.0772332977855,18.57763658490665,100,suburban,low,41,16,0.0,0.0,,,0
T1,12,traditional,235,50.34374906286751,15.0,8.913869198627275,20.50189915684273,100,suburban,low,48,23,0.0,0.0,,,0
T1,13,traditional,269,51.529792189951806,15.0,10.307980021665044,23.708354049829598,100,suburban,low,60,30,0.0,0.0,,,0
T1,14,traditional,236,54.078532987996816,15.0,9.202697633391821,21.166204556801187,100,suburban,low,52,19,0.0,0.0,,,0
T1,15,traditional,253,47.95840057424667,15.0,9.397539869741134,21.61434170040461,100,suburban,low,56,28,0.0,0.0,,,0
T1,16,traditional,299,48.095673717639315,15.0,13.506400127079091,31.06472029228191,100,suburban,low,46,36,0.0,0.0,,,0
T1,17,traditional,317,46.89512293547064,15.0,14.271948357098992,32.82548122132768,100,suburban,low,54,29,0.0,0.0,,,0
T1,18,traditional,324,52.19477710657956,15.0,15.29433571422087,35.176972142707996,100,suburban,low,53,32,0.0,0.0,,,0
T1,19,traditional,129,49.903079812242126,15.0,4.737566607513218,10.8964031972804,100,suburban,low,32,13,0.0,0.0,,,0
T1,20,traditional,188,48.168845267803135,15.0,6.906688885945108,15.885384437673748,100,suburban,low,32,17,0.0,0.0,,,0
T1,21,traditional,147,50.25683649544451,15.0,5.4896748184480035,12.626252082430407,100,suburban,low,23,17,0.0,0.0,,,0
T1,22,traditional,55,49.03866627875651,15.0,1.9739157931533857,4.540006324252786,100,suburban,low,9,4,0.0,0.0,,,0
T1,23,traditional,62,49.85802768433504,15.0,2.2618067884042508,5.202155613329777,100,suburban,low,19,7,0.0,0.0,,,0
T1,0,traditional,58,50.47622670968699,15.0,2.073343837676161,4.7686908266551695,100,suburban,low,17,8,0.0,0.0,,,1
T1,1,traditional,57,49.05253906154464,15.0,2.0470381314929336,4.708187702433746,100,suburban,low,10,3,0.0,0.0,,,1
T1,2,traditional,61,40.46734109545151,15.0,2.0479266870232733,4.7102313801535285,100,suburban,low,8,5,0.0,0.0,,,1
T1,3,traditional,47,48.849975752463735,15.0,1.6724629696202893,3.8466648301266653,100,suburban,low,8,4,0.0,0.0,,,1
T1,4,traditional,58,44.75769231937335,15.0,1.9686946583334213,4.527997714166869,100,suburban,low,14,7,0.0,0.0,,,1
T1,5,traditional,114,47.99698376433663,15.0,4.154007796033323,9.554217930876641,100,suburban,low,19,16,0.0,0.0,,,1
T1,6,traditional,116,53.288553619210994,15.0,4.380589666372785,10.075356232657406,100,suburban,low,17,9,0.0,0.0,,,1
T1,7,traditional,369,50.96791596534906,15.0,17.28355757329492,39.752182418578315,100,suburban,low,64,39,0.0,0.0,,,1
T1,8,traditional,319,47.21729603995405,15.0,14.350028210123046,33.005064883283005,100,suburban,low,72,30,0.0,0.0,,,1
T1,9,traditional,108,49.19447531429136,15.0,4.721010889124806,10.858325044987053,100,suburban,low,28,3,0.0,0.0,,,1
T1,10,traditional,210,52.684194800318124,15.0,8.156914699662046,18.760903809222704,100,suburban,low,50,24,0.0,0.0,,,1
T1,11,traditional,197,47.001729269487676,15.0,7.211941537881955,16.587465537128494,100,suburban,low,45,23,0.0,0.0,,,1
T1,12,traditional,213,48.4691907687365,15.0,7.895512217965625,18.159678101320935,100,suburban,low,52,26,0.0,0.0,,,1
T1,13,traditional,263,52.28664438515073,15.0,10.156651304897776,23.360298001264884,100,suburban,low,66,26,0.0,0.0,,,1
T1,14,traditional,286,50.11156149753713,15.0,10.867194355872376,24.994547018506463,100,suburban,low,57,28,0.0,0.0,,,1
T1,15,traditional,243,52.72668252115901,15.0,9.390624926306083,21.59843733050399,100,suburban,low,47,28,0.0,0.0,,,1
T1,16,traditional,285,46.07649382193552,15.0,12.674419196450483,29.15116415183611,100,suburban,low,64,25,0.0,0.0,,,1
T1,17,traditional,342,49.049420338190586,15.0,15.765167180435437,36.2598845150015,100,suburban,low,75,36,0.0,0.0,,,1
T1,18,traditional,276,49.48119649641898,15.0,12.579847180562178,28.933648515293008,100,suburban,low,76,30,0.0,0.0,,,1
T1,19,traditional,126,52.33832635612719,15.0,4.733626799012184,10.88734163772802,100,suburban,low,30,8,0.0,0.0,,,1
T1,20,traditional,127,50.28505330801508,15.0,4.724332318062935,10.865964331544749,100,suburban,low,25,13,0.0,0.0,,,1
T1,21,traditional,134,49.30782761156729,15.0,4.960678404942202,11.409560331367064,100,suburban,low,29,14,0.0,0.0,,,1
T1,22,traditional,51,48.42477078143071,15.0,1.8356253845602737,4.221938384488629,100,suburban,low,9,6,0.0,0.0,,,1
T1,23,traditional,58,51.200346472044025,0.0,2.0865952293272945,4.799169027452777,100,suburban,low,9,6,0.0,0.0,,,1
T1,0,traditional,53,55.28832675231044,15.0,1.9783283619900889,4.550155232577204,100,suburban,low,12,7,0.0,0.0,,,2
T1,1,traditional,54,50.678481030198796,15.0,1.974765569925459,4.541960810828555,100,suburban,low,13,5,0.0,0.0,,,2
T1,2,traditional,66,47.06956408042916,15.0,2.3051740341516576,5.301900278548812,100,suburban,low,15,12,0.0,0.0,,,2
T1,3,traditional,75,41.3566891630434,15.0,2.5329830455371356,5.825861004735412,100,suburban,low,10,11,0.0,0.0,,,2
T1,4,traditional,53,50.1399523219416,15.0,1.8920930902814108,4.351814107647245,100,suburban,low,6,3,0.0,0.0,,,2
T1,5,traditional,143,49.352382736515246,15.0,5.269097067000022,12.11892325410005,100,suburban,low,28,18,0.0,0.0,,,2
T1,6,traditional,99,46.395191657782,15.0,3.4863873351345784,8.01869087080953,100,suburban,low,17,2,0.0,0.0,,,2
T1,7,traditional,318,53.03161360265411,15.0,15.040587571243552,34.59335141386017,100,suburban,low,65,33,0.0,0.0,,,2
T1,8,traditional,306,52.88672726739667,15.0,14.42898928299573,33.18667535089018,100,suburban,low,58,32,0.0,0.0,,,2
T1,9,traditional,93,52.61043013000781,15.0,4.1781724588724805,9.609796655406704,100,suburban,low,16,13,0.0,0.0,,,2
T1,10,traditional,250,45.711685406585985,15.0,9.180936268265567,21.116153417010803,100,suburban,low,54,26,0.0,0.0,,,2
T1,11,traditional,266,52.01606851490478,15.0,10.241997157370971,23.55659346195323,100,suburban,low,57,29,0.0,0.0,,,2
T1,12,traditional,161,52.74942313203828,15.0,6.182520652482732,14.219797500710282,100,suburban,low,21,21,0.0,0.0,,,2
T1,13,traditional,253,51.532629578997074,15.0,9.69330731988423,22.294606835733727,100,suburban,low,52,27,0.0,0.0,,,2
T1,14,traditional,250,53.975470239848526,15.0,9.862698517009726,22.68420658912237,100,suburban,low,49,27,0.0,0.0,,,2
T1,15,traditional,263,50.99045233439699,15.0,10.045113978930418,23.10376215153996,100,suburban,low,31,19,0.0,0.0,,,2
T1,16,traditional,295,51.705043081076504,15.0,13.79497610688271,31.72844504583023,100,suburban,low,48,33,0.0,0.0,,,2
T1,17,traditional,334,51.94430772916806,15.0,15.757103586395182,36.241338248708914,100,suburban,low,61,29,0.0,0.0,,,2
T1,18,traditional,285,45.7451128676758,15.0,12.637218370525288,29.06560225220816,100,suburban,low,51,22,0.0,0.0,,,2
T1,19,traditional,169,49.527324790623915,15.0,6.249450431432388,14.373735992294492,100,suburban,low,35,13,0.0,0.0,,,2
T1,20,traditional,111,49.56754612599119,15.0,4.109925257706814,9.452828092725671,100,suburban,low,24,16,0.0,0.0,,,2
T1,21,traditional,139,52.937189006813625,15.0,5.255706645856273,12.088125285469427,100,suburban,low,38,16,0.0,0.0,,,2
T1,22,traditional,55,57.20778703179828,15.0,2.118100774444573,4.871631781222518,100,suburban,low,9,8,0.0,0.0,,,2
T1,23,traditional,56,48.41330543644205,15.0,1.963121507619869,4.515179467525698,100,suburban,low,10,9,0.0,0.0,,,2
T1,0,traditional,63,54.96646528279673,15.0,2.364507628920075,5.438367546516171,100,suburban,low,11,3,0.0,0.0,,,3
T1,1,traditional,55,51.05320127190432,15.0,2.0094723357824447,4.621786372299622,100,suburban,low,9,8,0.0,0.0,,,3
T1,2,traditional,57,45.89540732784845,15.0,1.9892626207662936,4.575304027762475,100,suburban,low,12,6,0.0,0.0,,,3
T1,3,traditional,48,52.62150518573369,0.0,1.7292425777860054,3.9772579289078123,100,suburban,low,10,3,0.0,0.0,,,3
T1,4,traditional,49,47.14744336882354,15.0,1.674288511374559,3.850863576161485,100,suburban,low,14,4,0.0,0.0,,,3
T1,5,traditional,137,52.90760709018842,15.0,5.224453370264756,12.016242751608939,100,suburban,low,31,12,0.0,0.0,,,3
T1,6,traditional,123,48.26542551733481,15.0,4.4660272068657925,10.271862575791323,100,suburban,low,31,13,0.0,0.0,,,3
T1,7,traditional,470,51.5255654243829,15.0,22.601042236786142,51.98239714460812,100,suburban,low,105,43,0.0,0.0,,,3
T1,8,traditional,325,47.17088914317884,15.0,14.68811089924121,33.782655068254776,100,suburban,low,63,35,0.0,0.0,,,3
T1,9,traditional,114,56.093164451478266,15.0,5.360267661113989,12.328615620562173,100,suburban,low,25,11,0.0,0.0,,,3
T1,10,traditional,245,50.74038340021042,15.0,9.338667583984686,21.478935443164776,100,suburban,low,62,28,0.0,0.0,,,3
T1,11,traditional,216,49.54622506310903,15.0,8.075531555696031,18.57372257810087,100,suburban,low,50,30,0.0,0.0,,,3
T1,12,traditional,199,47.855881859627694,15.0,7.296441683744227,16.78181587261172,100,suburban,low,48,12,0.0,0.0,,,3
T1,13,traditional,215,49.96307799082327,15.0,8.103926622231278,18.639031231131938,100,suburban,low,43,22,0.0,0.0,,,3
T1,14,traditional,281,44.61864870488735,15.0,10.221194251442704,23.508746778318216,100,suburban,low,62,19,0.0,0.0,,,3
T1,15,traditional,244,52.270284896108485,15.0,9.431605375733845,21.69269236418784,100,suburban,low,46,31,0.0,0.0,,,3
T1,16,traditional,314,50.07060654711899,15.0,14.536820714795217,33.434687644029,100,suburban,low,69,20,0.0,0.0,,,3
T1,17,traditional,327,51.28373593241625,15.0,15.311396686969806,35.21621238003055,100,suburban,low,76,40,0.0,0.0,,,3
T1,18,traditional,377,49.513228973325674,15.0,17.52395168375406,40.305088872634336,100,suburban,low,61,33,0.0,0.0,,,3
T1,19,traditional,157,54.18623131894266,15.0,6.075874777772871,13.974511988877602,100,suburban,low,31,13,0.0,0.0,,,3
T1,20,traditional,170,51.783590408186285,15.0,6.521714977454805,14.999944448146051,100,suburban,low,28,15,0.0,0.0,,,3
T1,21,traditional,149,50.133137951770244,15.0,5.513091683950693,12.680110873086592,100,suburban,low,35,13,0.0,0.0,,,3
T1,22,traditional,48,50.09529661210786,15.0,1.691349449181618,3.890103733117721,100,suburban,low,7,3,0.0,0.0,,,3
T1,23,traditional,57,47.4437624684077,15.0,2.0175975198385276,4.640474295628613,100,suburban,low,8,3,0.0,0.0,,,3
T1,0,traditional,53,42.667524267732816,15.0,1.7669299203734137,4.063938816858851,100,suburban,low,15,6,0.0,0.0,,,4
T1,1,traditional,53,61.127262287652876,15.0,2.076130532207075,5.730120268891525,100,suburban,low,10,5,0.0,0.0,,,4
T1,2,traditional,57,46.71011847906475,15.0,2.0041718348335515,4.609595220117169,100,suburban,low,8,0,0.0,0.0,,,4
T1,3,traditional,51,48.87195626760864,0.0,1.8430039450822093,4.238909073689081,100,suburban,low,11,5,0.0,0.0,,,4
T1,4,traditional,45,51.94864439235549,15.0,1.6443630470303015,3.782035008169693,100,suburban,low,8,3,0.0,0.0,,,4
T1,5,traditional,106,44.03649098809506,15.0,3.673783945021224,8.449703073548815,100,suburban,low,24,10,0.0,0.0,,,4
T1,6,traditional,126,55.135536408384105,15.0,4.847613108641652,11.149510149875798,100,suburban,low,24,17,0.0,0.0,,,4
T1,7,traditional,304,52.37209782410779,15.0,14.327989487154039,32.95437582045429,100,suburban,low,59,25,0.0,0.0,,,4
T1,8,traditional,381,52.41346790266332,15.0,18.184935449992775,41.825351534983376,100,suburban,low,63,39,0.0,0.0,,,4
T1,9,traditional,120,48.00632351868505,15.0,5.327724493607914,12.2537663352982,100,suburban,low,21,15,0.0,0.0,,,4
T1,10,traditional,228,46.32405561252121,15.0,8.300589737571578,19.09135639641463,100,suburban,low,46,19,0.0,0.0,,,4
T1,11,traditional,161,45.79900001021963,15.0,5.815538311650707,13.375738116796626,100,suburban,low,35,9,0.0,0.0,,,4
T1,12,traditional,267,49.085304694334745,15.0,10.062646024557058,23.14408585648123,100,suburban,low,45,29,0.0,0.0,,,4
T1,13,traditional,239,53.5262759829121,15.0,9.269430990645775,21.31969127848528,100,suburban,low,43,24,0.0,0.0,,,4
T1,14,traditional,222,49.226413819370215,15.0,8.334377580074452,19.16906843417124,100,suburban,low,52,24,0.0,0.0,,,4
T1,15,traditional,283,49.8107269369345,15.0,10.731889406262535,24.68334563440383,100,suburban,low,50,29,0.0,0.0,,,4
T1,16,traditional,362,49.95905349785672,15.0,16.86778718270381,38.79591052021876,100,suburban,low,65,35,0.0,0.0,,,4
T1,17,traditional,317,49.03778959849898,15.0,14.539610276644492,33.44110363628233,100,suburban,low,73,24,0.0,0.0,,,4
T1,18,traditional,226,48.47277518253061,15.0,10.117066203653959,23.269252268404102,100,suburban,low,42,21,0.0,0.0,,,4
T1,19,traditional,169,47.55865040906399,15.0,6.141468641603826,14.125377875688798,100,suburban,low,36,17,0.0,0.0,,,4
T1,20,traditional,164,50.517164549100514,15.0,6.16931395850892,14.189422104570514,100,suburban,low,32,22,0.0,0.0,,,4
T1,21,traditional,171,53.31747238983401,15.0,6.608540201069688,15.19964246246028,100,suburban,low,35,25,0.0,0.0,,,4
T1,22,traditional,54,49.0038051913327,15.0,1.945626210329189,4.474940283757134,100,suburban,low,8,3,0.0,0.0,,,4
T1,23,traditional,33,48.25312016987915,0.0,1.1243891697242734,2.5860950903658284,100,suburban,low,8,2,0.0,0.0,,,4
T1,0,traditional,55,52.15389944603041,0.0,2.02889965855577,4.66646921467827,100,suburban,low,10,5,0.0,0.0,,,5
T1,1,traditional,51,49.46537152022245,15.0,1.8527952967503372,4.2614291825257755,100,suburban,low,6,4,0.0,0.0,,,5
T1,2,traditional,42,42.853746238241136,15.0,1.4191762202376768,3.2641053065466563,100,suburban,low,8,3,0.0,0.0,,,5
T1,3,traditional,71,50.6574321350213,15.0,2.627827793430103,6.044003924889236,100,suburban,low,11,2,0.0,0.0,,,5
T1,4,traditional,62,49.76394815974846,15.0,2.25992049393629,5.197817136053466,100,suburban,low,11,7,0.0,0.0,,,5
T1,5,traditional,109,53.4490814823711,15.0,4.1010736392904406,9.432469370368013,100,suburban,low,28,12,0.0,0.0,,,5
T1,6,traditional,101,52.664589598134356,15.0,3.833942567849545,8.818067906053953,100,suburban,low,19,13,0.0,0.0,,,5
T1,7,traditional,297,51.49486297122467,15.0,13.866366167633284,31.89264218555655,100,suburban,low,57,30,0.0,0.0,,,5
T1,8,traditional,284,48.73816470458571,15.0,12.937374520325417,29.755961396748457,100,suburban,low,49,26,0.0,0.0,,,5
T1,9,traditional,106,48.089573715496925,15.0,4.586621130861064,10.549228600980447,100,suburban,low,22,16,0.0,0.0,,,5
T1,10,traditional,278,52.73211018353558,15.0,10.78708437123894,24.81029405384956,100,suburban,low,58,30,0.0,0.0,,,5
T1,11,traditional,132,50.1057339862875,15.0,4.920675754841639,11.31755423613577,100,suburban,low,22,10,0.0,0.0,,,5
T1,12,traditional,190,46.97066604404511,15.0,7.004516316517183,16.11038752798952,100,suburban,low,41,13,0.0,0.0,,,5
T1,13,traditional,237,51.318352681353176,15.0,9.066552670007809,20.85307114101796,100,suburban,low,37,23,0.0,0.0,,,5
T1,14,traditional,266,51.37851096397845,15.0,10.186561528317926,23.429091515131226,100,suburban,low,53,21,0.0,0.0,,,5
