intersection_id,control_type,hour,vehicle_count,emergency_vehicle_count,wait_time,emergency_wait_time,cycle_time,fuel_consumption,emissions,emergency_preemption_count,intersection_type,day
T1,traditional,0,4374,202,35.25008410206273,2.341273490633673,157.85095085691444,213.11427135927653,588.1953889516031,0,highway_high,0
T1,traditional,1,4785,252,31.44650954987307,2.7084599498342596,138.5380839549175,234.59194320550768,647.4737632472011,0,highway_high,0
T1,traditional,2,4781,266,34.82999553797368,2.2121667829358014,160.63086359213224,239.68827755419227,661.5396460495706,0,highway_high,0
T1,traditional,3,4619,215,32.69966952448743,2.016550358609053,140.50038428955213,225.3867397182761,622.0674016224419,0,highway_high,0
T1,traditional,4,4658,209,36.1434558512279,3.935465096784876,150.00309017972072,233.2837152983155,643.8630542233507,0,highway_high,0
T1,traditional,5,10017,496,36.20515784606912,4.029481920870195,136.7254729185573,530.291667197043,1463.6050014638386,0,highway_high,0
T1,traditional,6,7786,363,34.92913396177397,3.030272767107957,148.04191513418488,408.83722703751454,1128.39074662354,0,highway_high,0
T1,traditional,7,27218,1341,49.105841082380934,5.992489583683228,145.56885372579436,1868.2253632139657,5156.302002470545,0,highway_high,0
T1,traditional,8,34143,1647,47.77403708703501,4.205522734642528,140.5758795112152,2325.616560167071,6418.701706061115,0,highway_high,0
T1,traditional,9,10207,511,43.14981019050794,5.685560073612635,143.08159785829972,676.4879169115112,1867.1066506757707,0,highway_high,0
T1,traditional,10,17205,833,40.23527109560642,2.752417535399805,150.27650327128723,933.761669300422,2577.1822072691643,0,highway_high,0
T1,traditional,11,17960,928,42.2132552252384,4.184596886391781,156.7232658668418,986.5495210689429,2722.8766781502823,0,highway_high,0
T1,traditional,12,19756,983,38.269534615213225,3.828102137993332,140.32081264141422,1059.3557018194597,2923.8217370217085,0,highway_high,0
T1,traditional,13,21516,1054,41.773758898529174,2.5993200937159093,148.2415740009137,1178.620712612163,3252.99316680957,0,highway_high,0
T1,traditional,14,19791,1003,35.28130851163887,1.844176923141492,139.7966555919316,1041.80164149696,2875.372530531609,0,highway_high,0
T1,traditional,15,19528,1033,40.52873751863284,2.5905974847399107,135.66276033471127,1061.6828673275588,2930.2447138240623,0,highway_high,0
T1,traditional,16,25386,1231,44.60309052301674,5.078233320570998,137.2048269223074,1697.2080215046908,4684.294139352946,0,highway_high,0
T1,traditional,17,26214,1346,48.21058262083087,5.7421036308787485,137.4128173175377,1790.1014181440532,4940.679914077587,0,highway_high,0
T1,traditional,18,27107,1335,47.011409155655144,3.4795503768286475,145.42273794794008,1838.193183138605,5073.413185462549,0,highway_high,0
T1,traditional,19,12446,629,46.16396488482497,5.814437057537665,160.99352534687415,699.745397204801,1931.2972962852505,0,highway_high,0
T1,traditional,20,9472,471,36.051995432908214,3.647335585080737,148.2575517341548,500.9751039262397,1382.6912868364213,0,highway_high,0
T1,traditional,21,12652,590,39.399022757287334,3.2157103937023,147.36515586134988,683.1610702559854,1885.5245539065195,0,highway_high,0
T1,traditional,22,4747,232,34.19524191692311,4.206182090337153,146.3686291239942,236.3460747678275,652.3151663592038,0,highway_high,0
T1,traditional,23,4941,238,33.77414752140635,3.2684708804359657,143.09500626554825,248.99066528939665,687.2142361987346,0,highway_high,0
T1,traditional,0,5066,220,33.556718236674705,2.295674729849058,144.67736247052096,257.2513761153494,710.0137980783643,0,highway_high,1
T1,traditional,1,5325,268,37.11232811673807,2.965865613228286,162.76247049181555,281.9413879746352,778.158230809993,0,highway_high,1
T1,traditional,2,4463,197,35.0718754623669,2.766193046393941,146.0662281225307,218.65015334845128,603.4744232417255,0,highway_high,1
T1,traditional,3,3880,186,36.655550791933216,3.6890185330650525,149.72228032656096,183.62473019695426,506.8042553435937,0,highway_high,1
T1,traditional,4,5134,249,34.45000652693274,1.9574676860457425,147.06383057228325,263.6083617960594,727.5590785571239,0,highway_high,1
T1,traditional,5,8590,419,34.1867651207092,3.0303408483557774,147.97369210951604,449.09922308767443,1239.5138557219814,0,highway_high,1
T1,traditional,6,9659,472,41.55497954603013,4.109488873811492,156.21980680397914,528.3170200724023,1458.1549753998304,0,highway_high,1
T1,traditional,7,27507,1399,44.12805330052853,5.4450373009027695,163.38515069951,1833.9138170378847,5061.602135024561,0,highway_high,1
