intersection_id,control_type,hour,vehicle_count,emergency_vehicle_count,wait_time,emergency_wait_time,cycle_time,fuel_consumption,emissions,emergency_preemption_count,intersection_type,vehicles_simulated,vehicles_waited,wait_time_max,wait_time_min,wait_time_median,wait_time_std,wait_episodes,red_light_waits,yellow_light_waits,congestion_waits,day
T1,traditional,0,3054,147,0.0,2.166396370310868,135.109075292242,97.97246666666666,225.3366733333333,0,highway_medium,8,0,0.0,inf,0.0,0.0,0,0,0,0,0
T1,traditional,1,3095,173,1.8624999999999934,0.8970115012178017,153.47642732344403,101.6625229398148,233.82380276157403,0,highway_medium,16,8,2.199999999999992,1.2999999999999954,2.199999999999992,0.43571062644833286,8,4,0,0,0
T1,traditional,2,3921,191,6.962500000000013,2.2374906502414857,149.61209301738555,147.71697888888895,339.74905144444455,0,highway_medium,24,16,12.300000000000031,1.2999999999999954,6.800000000000013,5.112713931954358,20,12,0,0,0
T1,traditional,3,3109,164,20.554166666666788,0.0,159.6604000915758,121.40434020833347,335.07597897500034,0,highway_medium,32,24,27.300000000000157,11.400000000000034,22.650000000000176,6.2699002628077185,36,12,12,0,0
T1,traditional,4,3332,162,28.86000000000026,0.0,146.92635569946992,142.1327578888892,392.2864117733341,0,highway_medium,40,30,37.400000000000375,22.200000000000173,27.300000000000157,5.681466946719618,54,12,23,0,0
T1,traditional,5,7176,316,40.44473684210571,0.0,141.14686250134235,389.85280328947476,1075.99373707895,0,highway_medium,48,38,52.40000000000052,25.100000000000342,42.050000000000466,9.548455299940398,78,12,43,0,0
T1,traditional,6,6789,354,40.44473684210571,0.0,155.51976575813595,368.80396592105365,1017.898945942108,0,highway_medium,56,38,52.40000000000052,25.100000000000342,42.050000000000466,9.548455299940398,78,12,43,0,0
T1,traditional,7,21826,1113,33.9375000000004,0.0,160.56522575404267,1367.0032687500036,3772.9290217500093,0,highway_medium,64,32,52.40000000000052,1.6000000000001435,44.9500000000005,19.978406311565653,104,12,48,0,0
T1,traditional,8,17436,896,8.52500000000009,0.0,143.75680705242138,916.5777015000006,2108.128713450001,0,highway_medium,72,36,17.500000000000114,1.6000000000001435,7.500000000000057,6.166007847690277,140,16,64,0,0
T1,traditional,9,6397,316,10.852777777777844,0.0,136.6432710363767,342.13774500000017,944.3001762000004,0,highway_medium,80,36,17.500000000000114,1.8999999999999932,12.70000000000004,5.275650887231932,178,13,51,0,0
T1,traditional,10,12728,638,27.939583333333527,0.0,164.4313012926563,639.0694862500009,1763.8317820500022,0,highway_medium,88,48,42.60000000000029,12.000000000000043,27.700000000000166,10.402238132235006,222,13,95,0,0
T1,traditional,11,17005,833,31.63928571428598,0.0,157.52306364580068,874.6727780357157,2414.096867378575,0,highway_medium,96,56,42.60000000000029,15.300000000000129,32.40000000000028,7.875860011349127,268,13,107,0,0
